"ISO_code","countries","ECONOMIC.FREEDOM","rank","AVG.ECONOMIC.FREEDOM","AVG.RANK","life_satisfaction","subjective_health","happiness","financial_satisfaction","life_satisfaction_scaled","subjective_health_scaled","happiness_scaled","financial_satisfaction_scaled","avg_temperature","avg_temperature_scaled","ECONOMIC.FREEDOM_scaled"
"HKG","Hong Kong",9,1,8.986,1,6.84824120603015,2.67537688442211,3.11356783919598,6.64422110552764,-0.00574520160619636,-0.833108268262169,-0.0953100237284467,0.858367538427415,75.37119387,0.577389477995403,2.185798428332
"HTI","Haiti",6.58,104,6.288,116,5.58490566037736,2.79959204487506,3.10504844467109,3.34319224885263,-1.61845947041912,-0.38478363854433,-0.127282899685376,-2.91285201427931,45.24994524,-0.513248612464407,-0.490448005980602
"IND","India",6.23,122,6.418,110,6.51566384883143,2.91397314768772,3.23620089507708,5.94704127299851,-0.430297689885412,0.0280473345688384,0.364925908819155,0.0618830693897956,80.2415115,0.753735219341117,-0.877508440695235
"JOR","Jordan",7.54,34,7.536,29,6.61,3.1425,3.02,5.33,-0.309872631334686,0.852859829838228,-0.44646560261722,-0.643048094375585,65.30821468,0.213026481529595,0.571203472093819
"JPN","Japan",7.52,36,7.56,27,6.97889908256881,2.57522935779817,3.21559633027523,6.08073394495413,0.161046449710642,-1.19456658484055,0.287597972821946,0.214618607436708,56.68795181,-0.099098263074606,0.549085732967268
"KAZ","Kazakhstan",7.23,64,7.082,67,7.25466666666667,2.688,3.20066666666667,6.04933333333333,0.513078274732142,-0.787548180454001,0.231567666766696,0.178745367409788,49.18061336,-0.370925947647704,0.228378515632288
"KGZ","Kyrgyz Republic",6.96,80,6.724,91,6.96032279757902,2.90652320107599,3.31809011432414,6.37726967047747,0.137332844906553,0.0011585510746173,0.67225219140246,0.553392176140414,52.97765608,-0.233441626449592,-0.070210962576144
"KOR","Korea, South",7.55,33,7.478,33,6.61974248927039,2.94592274678112,3.04291845493562,5.85665236051502,-0.297435831377483,0.143361698217761,-0.360453748765405,-0.0413806247207036,53.14299014,-0.227455167332264,0.582262341657094
"KWT","Kuwait",6.77,91,6.884,80,7.22757475083056,3.27076411960133,3.34053156146179,7.22425249169435,0.478494019275462,1.31579819997485,0.756473858039627,1.52101721514027,80.15098576,0.750457439544408,-0.280329484278374
"LBN","Lebanon",6.98,79,7.06,68,6.49662162162162,2.9847972972973,2.94341216216216,5.99239864864865,-0.454606094439455,0.283670001987294,-0.733896056957999,0.113701041706332,71.03729463,0.420466514760368,-0.048093223449593
"MAR","Morocco",6.28,120,6.374,111,5.93910806174957,3.04716981132075,2.93996569468268,5.56174957118353,-1.16630147588917,0.508788531417753,-0.746830482859893,-0.378288665686718,63.01675794,0.130056813373283,-0.822214092878859
"MEX","Mexico",6.85,87,6.736,89,8.51325662831416,2.96648324162081,3.6128064032016,6.99699849924963,2.1197345559696,0.217569839979274,1.77830818155898,1.26139370472919,56.23138113,-0.115629894306493,-0.191858527772172
"MYS","Malaysia",7.1,71,6.946,76,7.13384615384615,3.23615384615385,3.52615384615385,6.49153846153846,0.358844535594965,1.19088077466868,1.45310532239533,0.683937141914335,82.7492333,0.844535469654527,0.0846132113097088
"NGA","Nigeria",6.38,116,6.29,116,6.26208072768619,3.4582148948266,3.34508243320068,5.64241046048891,-0.754009881162141,1.99235651287921,0.773553059757336,-0.286138631229412,76.46892965,0.617136583755693,-0.711625397246107
"NLD","Netherlands",7.74,21,7.592,25,7.50377562028048,2.87486515641855,3.24811218985976,6.9277238403452,0.83107895583738,-0.113103517233963,0.409628422531886,1.18225172823929,50.81330778,-0.311808918788559,0.792380863359324
"NZL","New Zealand",8.48,3,8.43,3,7.6720901126408,3.15769712140175,3.28410513141427,6.89987484355444,1.04594125778998,0.907710170170054,0.544708192847081,1.15043598660826,59.22311062,-0.00730456628884429,1.61073721104169
"PAK","Pakistan",5.89,135,6.116,124,7.47946353730092,3.09220452640402,3.24979044425817,6.720871751886,0.800043303226632,0.6713304618112,0.415926830188406,0.945936120474114,75.80714677,0.593174575227822,-1.25351000584659
